Label (1 = metaphor / 0 = literal)	Sentence
0	To expect banks to absorb a cost without a commensurate charge defies logic 
0	Switzerland is an example of a country that has pursued a domestic price rule and achieved price stability while allowing fluctuations in the exchange rate to absorb real shocks 
0	At this year 's rate of $ 3.25 billion a month as tracked by IDD , it would take nearly four years for buy-outs to absorb $ 150 billion 
0	While reconstruction projects may initially absorb many of the workers , the need to find work for men demobilized from Iraq 's million-strong army makes it unlikely that guest labor will remain at current levels 
0	It had been long assumed that the agency would n't act until late on a Friday afternoon in order to give market participants a weekend to absorb the news 
0	-- The peaceful absorption into the world economy and polity of nations now moving swiftly to absorb all the major technologies , a group including among others , China and India , Brazil and Mexico 
0	The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light 
0	With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes 
0	The FDIC staff also noted that Wells Fargo would have given the agency no control over the selection and management of bad loans for which the agency would have to absorb all losses 
0	`` We 're talking about $ 50 billion to $ 60 billion of debt that the taxpayer will have to absorb , '' Emory University 's Mr. Benston says 
0	Its value depends on how quickly you can bring it to market , and there are problems like zoning and water and the ability of the market to absorb inventory . ''/''
0	The FDIC package would sharply boost the merged institution 's capital and give it a huge cushion to absorb future loan losses 
0	In spite of her wifely obligations -LRB- which ceased upon her official separation from Teddy in 1911 , followed by divorce -RRB- , her wealth and social standing allowed her to go where she pleased , read what she liked , and enjoy all she could absorb of a world that seemed to her to overflow with richness and beauty 
0	In no case did expenditures rise enough after the war to absorb the revenue that would have been available if the war taxes had been retained 
0	This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas-relief 
0	He added that employees who do n't move to the rival 's factory in Chicago probably will be absorbed by Bally 's growing fitness-equipment manufacturing businesses 
0	Most of these losses must be absorbed by the FSLIC , the industry 's insurer , analysts said 
0	It is the growth of the Hidden Economy -- these millions of small , private businesses -- that cushions the shock of a crashing Dow , that absorbs the workers cut loose by big firms when they restructure and that created most of those 17 million jobs 
0	`` The market is absorbing all of the mill 's output of supercalender paper , '' Mr. Nugent said 
0	Longtime American expatriates here like to recall what happened in the 1970s when Japan easily absorbed the same heavy body blows from the organization of Petroleum Exporting Countries that bring other developed nations to their knees 
0	An early new accord would absorb the existing one 
0	GM ca n't continue to absorb indefinitely the large fixed costs represented by unused capacity , he says 
0	`` It is actually easier for this market to absorb small increases for the yen -LRB- against the dollar -RRB- , '' Mr. Nakaharu said , `` although of course a sudden fall for the dollar would be a problem . ''/''
0	Nearly all of this growth is in the developing countries of Africa , Asia and Latin America , which are least capable of absorbing it , the report said 
0	Nearly four-fifths of this increase would be absorbed by the rising cost of Social Security benefits and the cost of keeping outlays for defense and education even with inflation , as Mr. Bush has proposed 
0	"With its large stock of sober , muscular buildings , Chicago has been able to absorb Mr. Jahn 's work ; there , Xerox Centre 's sweeping curve of white metal and reflective glass , or One South Wacker 's long grids of pale pink and pale blue glass can seem like light relief . -LRB- For similar reasons , his recent Chryslerlike blue-glass tower can be accommodated in downtown Philadelphia -RRB- "
0	Anyone who spends a few hours reading his speeches and talking to Democrats familiar with his views learns quickly that Mr. Dukakis has absorbed many of the dovish obsessions of his party 's left 
0	It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business 
0	First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so-called Southwest Plan to rescue the many ailing savings and loans based in the region 
0	The pension agency , which had briefly absorbed LTV 's $ 2 billion pension shortfall , subsequently returned responsibility for the plans to the steelmaker 
0	Districts jump back and forth over mountain ranges , cross large bodies of water , send out little tentacles to absorb special communities and ensure safe seats . ''/''
0	Previously , Olivetti refused to make such cuts , forcing AT & T 's computer business to absorb the shortfalls 
0	But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division 
0	Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party 
0	Reserving enables banks to absorb losses on bad credits 
0	One can not help but be absorbed by portions of Mr. Bouwsma 's diligent labor , but readers should be warned that the Calvin of this book is presented not as a dramatic heretic , but as a rather schematic schismatic 
0	DESPITE A modest rise in sales of luxury units , Miami 's glut of condominiums is n't expected to be absorbed for three years , according to RealData Information Systems , a local consultant 
0	Mr. Thunberg of Ried Thunberg said the Fed has `` aggressively '' absorbed reserves over each of the past three days , creating some confusion about its intentions 
0	Canadian National said that Canadian Pacific Hotels agreed to maintain all existing labor contracts and pension benefits and to absorb all of CN Hotels ' current employees 
0	"Under the proposed merger , Wheelabrator Technologies will absorb Waste Management 's Tampa , Fla . , incinerator and three other waste-to-energy projects the company has under development in Broward County , Fla . ; Dakota County , Minn . ; and Falls Township , Pa "
0	But Korea 's booming economy can absorb them , economists say 
0	Equity capital is the clearest picture of a bank 's net worth and its ability to absorb additional losses 
0	It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business 
0	If the latest auditors ' recommendation is adopted , Illinois Power could add $ 1.84 billion to its rate base , but apparently would have to absorb the balance 
0	This cost has been absorbed by me in the hope that the FDA would reward my efforts with its favor 
0	For Koppers , selling off part of its construction-materials business is seen as crucial , because no matter how it decides to improve upon Beazer 's bid , it is likely to absorb considerable debt 
0	But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division 
0	Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party 
0	The plan calls for Ferruzzi Finanziaria , the family holding company that controls the Ferruzzi-Montedison group and is now closely held , to absorb Iniziativa Me.T.A. unit in a stock swap 
0	E.F. HUTTON & CO.: Now in the process of being absorbed by Shearson Lehman Brothers , Hutton does n't seem to have picked stocks as well as Shearson did 
0	Montedison 's Iniziativa Me.T.A. unit , which Ferruzzi is to absorb in its restructuring , dropped 7.2 % to 8 , 310 lire 
0	`` Vitamins could be passed right out of the body without being absorbed , '' he says 
0	The court ruled , however , that the trust will now have to absorb more of that cost 
0	He added: `` There is so much space out there that people are making deals at good prices , absorbing space 
0	-- Futures dealers on the floors of the various exchanges `` absorbed some selling pressure '' but they were n't `` able to counterbalance the public selling pressure . ''/''
0	According to one theory , the market was still trying to absorb the two large computer-generated sell programs that passed through the market Wednesday 
0	Next year it will open a $ 125 million paper manufacturing plant in Greensboro , N.C . , and the Tokyo firm wants a ready market to absorb the additional capacity 
0	New tenants in Chicago usually demand a period of free rent and significant physical improvements , costs which Sears will probably have to absorb 
0	But by contrast with other nuclear plants whose power is quickly absorbed in the high-demand areas they serve , this nuclear plant has brought so much generating capacity to sparsely populated New Mexico -LRB- 1.4 million residents in 121 , 000 square miles -RRB- that it wo n't be needed until the year 2000 
0	Traders believe the market can absorb the flood , but it appears to be pushing up yields 
0	Most such disputed charges that go unpaid are absorbed by the card-issuing bank 
0	With the latest quarterly deficit , MCorp 's capital base , which represents its ability to absorb further losses , will be a slender $ 131 million of common equity , or $ 304 million in total shareholder equity , including two issues of preferred stock 
0	Some businesses are better able to absorb price increases these days 
0	`` Apparently , the manner in which the market absorbed the large quantity , estimated at about 200 , 000 tons , has encouraged demand for futures contracts , '' he said 
0	Instead , the bill calls for the FADA 's operations to be liquidated or absorbed into the Bank Board 's insurance arm , the Federal Savings and Loan Insurance Corp 
0	`` The belief is that this quantity has been absorbed by the market and that the Ivory Coast might want to back off as a seller for a while , '' he said 
0	Jerald D. Hitzemann , Carter 's research director , believes the market can handle all that activity , noting that about 2.8 million square feet of new space was absorbed in the first half of the year 
0	In particular , businesses with five or fewer employees , those exempted under the law , may avoid adding employees to the payroll or choose to absorb the less-costly penalties for not offering health insurance 
0	As Eliot wrote: `` In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed `` sleep in empty silence . ''/''
0	Paradoxically , the market that absorbed most of the dumping in the fourth quarter was Tokyo 
0	Also , baseball owners contend that broadcast companies tend to drive up player salaries because they can afford to absorb operating losses on the baseball team 
0	Hopkins & Sutter also has a Washington office and in July absorbed Washington-based Hamel & Park into that operation 
0	But polyester does n't absorb moisture , so permanent-press clothes are n't as cool as those made from all-cotton fibers 
0	They offer a way to absorb extra white-collar workers whom companies feel obliged to retain under lifetime employment practices 
0	It got the government to absorb half the cost and paid back the favor by offering federal agencies discount rates on its tracking service 
0	New Pig Corp . , Tipton , Pa . , offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines 
0	Panhandle said it would absorb half the cost of the settlements 
0	Their Northern European ancestors had to adapt to a climate where sunny days were few and short and it was important for the skin to absorb sunlight to produce vitamin D. Thus , light-skinned people have a type of melanin that builds up only after the skin is threatened by repeated sunburn and fades quickly when the threat diminishes 
0	Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight 
0	The world oil glut that has kept gasoline prices low and bank-failure rates high will therefore be extended -- perhaps for years but surely for however long it takes for world-wide demand to absorb the new Iraqi production 
0	The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding , almost colorless artery wall 
0	And now that the baby boom has been absorbed into the work force , slower labor force growth appears certain to lie ahead 
0	The country absorbed them 
0	Puma posted a loss of 73 million marks for 1987 , of which Mr. Dassler absorbed 40.5 million marks by waiving repayment on a personal loan to the company his father founded 40 years ago 
0	That 's because one of the ways the SBA `` rewards '' the 162 of its 7 , 000 lenders who have gained the preferred status is by having them absorb more of the loss if their loans turn sour 
0	He thinks some of the shock can be absorbed by retraining and welfare 
0	Its economy remains so robust that it can absorb much punishment before problems get serious , as they might in a recession 
0	`` The composite stock price index should remain between 650 points and 700 points , due to the expected unbalance of demand and supply , unless a measure to absorb the excess supply works out , '' said Lee Jung-ja , an analyst at W.I. Carr Securities Co 
0	Because of this logistical problem and because of the potential for diversion of the drug to nonregistered addicts , heroin began to be progressively replaced by methadone maintenance . -LRB- Methadone , a long-lasting opiate , needs to be absorbed only once a day , by mouth. -RRB-/-RRB-
0	Stocks `` can absorb '' interest-rate rises as long as they are n't viewed as a panic step , says Charles Larkum , an analyst at James Capel & Co 
0	The reason for Daimler-Benz 's reluctance is that it has enough problems of its own , without absorbing those of aerospace group MBB , through which West Germany owns 37.9 % of Airbus Industrie , the money-draining European airline consortium 
0	Bonn has been trying for a year to persuade Daimler-Benz to absorb MBB 
0	I 'm not too concerned about how we can absorb the shares , '' says Reese Harasawa , manager of the strategic planning division at Mitsubishi Bank Ltd 
0	And there can be little question that massive new inflows would make it even more unlikely that these immigrants would be absorbed into the cultural framework of traditional France and West Germany 
0	In the filing made Wednesday , the company proposed to absorb 25 % of its obligations , which resulted in the charge 
0	On the narrow issue at hand , several European nations would like NATO simply to absorb the cost of relocating the F-16s by using a special joint `` infrastructure fund , '' designed to finance $ 11 billion of NATO construction projects between 1985 and 1990 
0	Mr. Filisko says his fluids do n't rely on absorbed water , and perform better as temperatures rise 
0	`` Increasingly these adults are being absorbed into the mainstream of college education , '' rather than segregated in night school or special programs , says Carol Aslanian , director of the office of adult learning services 
0	Previously , the NASD could halt the listing of price quotations for Nasdaq stocks only to let the market absorb the announcement of `` material news . ''/''
0	`` Some people feel it was bearish because it was n't regular sugar and absorbed a large chunk of demand , '' he said 
0	`` There has been an enormous harvest of comandantes from this war and , at the hour of peace , it will be an enormous task to absorb them into civilian life . ''/''
0	Such regulatory reviews result in electricity consumers absorbing , though higher bills , only those costs that have been efficiently or `` prudently '' incurred 
0	Despite the absence of headline-grabbing violence , and the ability of the Korean economy to absorb large wage boosts , the strikes this spring nevertheless raise concern , as they will establish the practices and procedures for the future of Korean labor-management relations 
0	But Korea 's booming economy can absorb them , economists say 
0	"In 1979 the federal government absorbed 20.5 % of our gross national product ; by 1986 that had increased to 23.8 % "
0	Gordon Adams , director of a nonpartisan research organization called the Defense Budget Project , says that if the economy at that time is moving ahead as it is now , the loss of defense jobs probably would have `` zero '' effect on overall employment rates as workers are absorbed elsewhere 
0	Traders emphasized that the market was able to absorb some of the damage from the exchange-listed stocks ' fall because many small investors were n't around to sell 
1	On Tuesday , AIDS demonstrators assaulted the headquarters building of the Food and Drug Administration outside Washington 
1	At least six people were assaulted 
1	"After all , consider the underlying facts: An innocent , if slightly vapid , college student is forced to wear a blindfold for two months ; she 's never left alone , not even to go to the bathroom ; she 's raped , then assaulted with ludicrous rhetoric informing her that sex is revolutionary activity "
1	The scenes two weeks ago of ordinary people in Krasnoyarsk verbally assaulting Mikhail Gorbachev because of the shortage of goods in the shops reflect how deep popular disappointment is over the results of `` perestroika '' thus far 
1	The bill admits that the key to winning the drug war is assaulting the demand side 
1	For the past 10 years the House Subcommittee on Africa , first under Stephen Solarz -LRB- D . , N.Y. -RRB- and now under Howard Wolpe -LRB- D . , Mich. -RRB- , has annually assaulted White House requests for aid appropriations 
1	Hezbollah fighters assaulted the last stronghold of pro-Iranian militiamen in the Shiite Moslem slums of southern Beirut as more than two weeks of fighting continued 
1	Now that the Reagan Revolution has come and gone , will conservatives turn on one another as zestfully as they 've assaulted modern liberals ?/.
1	Sound is not the only thing with which the audience is assaulted at `` Chess . ''/''
1	BEST -- Baker: Attempted in each post to make government function using , not assaulting , the democratic process 
1	Mr. Guez was indicted last week by a federal grand jury , which charged him with assaulting , resisting and interfering with U.S. marshals in their attempt to seize the records 
1	Opponents assaulted the demonstrators with rocks , dirty dishwater and racial epithets 
1	U.S. policy has allowed effective control of the strait to pass into the hands of a few small warships and a flotilla of outboards while our Navy , present in overwhelming force , has the humiliating role of witnessing unarmed merchantmen being murderously assaulted in international waters 
1	But here again investor confidence -- and particularly the confidence of foreign investors -- was being assaulted almost daily with news of the budgetary circus in Congress and the congressional war against the Reagan administration 
0	For example , he carefully steered clear of controversies such as New York 's Tawana Brawley case , where some rabble-rousing lawyers are charging that a young black woman was assaulted and raped by whites 
0	Last year , the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year-old American woman has a 72 % chance of being raped , robbed or assaulted in her lifetime 
0	Among the tantrums he admits: heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping 
0	And when basic democratic rights are assaulted by an employer , a worker finds it awfully hard to comprehend how their well-being is necessarily tied to that of their current employer 
0	Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife 
0	Will Rogers , who assaulted the White House with humor on his radio programs and in his newspaper columns of the 1920s and '30s , might have put it this way: When it comes to criticizing one another , presidents are as human as the rest of us , only more so 
0	In June 1987 he had told Udo Janz of Amnesty International: `` that I was allowed to interview the detainees and they had told me that they were not assaulted . ''/''
0	In December 1987 he had told Eric Schwartz of Asiawatch , the same organisation represented by Jerome Cohen: `` that the three detainees , namely Lim Li Kok , Wong Souk Yee and William Yap , whom I interviewed had said that they were not assaulted . ''/''
0	He was detained on June 23 , and for two weeks he was regularly assaulted by South African police 
0	His brother Woody , who 's worth $ 100 million , is a grotesque 250-pound alcoholic moron who spends his time watching Arnold Schwarzenegger movies , eating peanuts , and floating stark naked on a rubber raft in his indoor swimming pool listening to favorites from `` My Fair Lady . '' -LRB- He also has raped and assaulted a showgirl. -RRB-/-RRB-
0	John Gil , a San Diego landlord , and Mike Black , an apartment manager , were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters 
0	Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided 
0	He insults guests -- `` Zip it ! `` -- and has assaulted at least one of them 
0	Mr. LaFree noted that the sentencing disparities were substantial: `` Black men accused of assaulting black women accounted for 45 % of all reported cases , but for only 26 % of all men sentenced to the state penitentiary and for only 17 % of all men who received sentences of six or more years 
0	By contrast , black men accused of assaulting white women accounted for 23 % of all reported rapes , but for 45 % of all men sent to the state penitentiary and for 50 % of all men who received sentences of six or more years . ''/''
0	One of them , usually assaulting the New York Times , is signed J.J. Hunsecker , the gossip columnist in the movie `` Sweet Smell of Success . ''/''
0	Tshekedi , whose people were complaining that their daughters were n't safe -LRB- an interesting twist given the amount of fretting whites in Africa have done about their daughters ' safety -RRB- , ordered McIntosh flogged -- McIntosh had assaulted an African who had insulted McIntosh 's African girlfriend 
0	Mr. Coakley was given a prison term on charges of breaking into an apartment where a couple was in bed watching television , assaulting the man , and then blindfolding and raping the woman 
0	She says six white men , including one wearing a police badge , kidnaped , beat and sexually assaulted her 
0	One recent morning , as Chicago 's winter wind was assaulting the streets , nine homeless men and women decided to move into vacant apartments at a large public-housing project here 
0	It was no mugger who assaulted the elderly woman 
1	Then two industry trade groups sued the state , attacking the lemon law 's constitutionality 
1	And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject 
1	`` Otherwise we will also be attacked . ''/''
1	`` A Bright Shining Lie '' will be attacked by those who have trimmed their judgments to this decade 's prevailing winds 
1	The approach is raising eyebrows in the cigarette industry , which generally refrains from attacking the competition by name 
1	Their report , to be published here Saturday in the Lancet , a leading British medical journal , immediately was attacked by some radiation specialists as too optimistic 
1	He predicted the opinion `` will open up a can of worms because now any trade organization can attack any trademark claimed by someone else in the industry . ''/''
1	On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power 
1	Recriminations already are beginning to fly in Israel as Foreign Minister Shimon Peres , who hopes to be Israel 's next prime minister , attacks the present one for lost opportunities to make peace while Iraq was distracted 
1	He returned to attack bats , helmets and pitched balls with equal gusto -LRB- he 's in the league 's Top 10 in five offensive categories -RRB- , and gave the club a needed injection of esprit 
1	If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells 
1	The specialist system has been attacked frequently since the October market crash , especially by the Chicago-based futures markets 
1	It turned out that a protein segment in cartilage is similar to the bacterial protein segment , which explained why the white cells also attacked the cartilage 
1	These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading 
1	The filing also reported two lawsuits brought by Staley shareholders attacking the company 's extensive anti-takeover arsenal 
1	"According to this view , a work of art is an extension of the personality of the artist ; to alter or mutilate it is to attack the very personality of the artist "
1	In his previous handling of the case , Judge Brieant roundly attacked the merits of the Pennzoil judgment 
1	These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading 
1	Last April , the Association of American Universities published a report attacking the restrictiveness as `` utlimately self-defeating . ''/''
1	The virus attacked Argonne National Laboratory outside Chicago starting at 11:54 p.m. EST Wednesday and throughout the night 
1	The bug attacked machines that use the Unix operating system , filling their disk storage devices to capacity with unwanted data files until the computers shut down from data congestion 
1	`` The big question is whether the pest problems are happening by themselves or whether opportunistic insects are attacking weakened trees , '' said David Marvin , a maple syrup producer in Johnson , Vt 
1	His psyche was attacked first by New York Mets pitcher David Cone , who in print called his curveball `` high school , '' and then by A 's vet Don Baylor , who called him a `` choker , '' the ultimate ball-player insult 
1	It 's not enough to attack the ACLU simply by reciting its 10 most eccentric opinions , nor is it enough to defend the ACLU by recalling its occasional defense of unpopular groups and viewpoints 
1	According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being attacked `` professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him 
1	In Congress , it can use the likes of a Kastenmeier or Rudman or Morrison to attack any targeted person 
1	CD4 is found on the surface of certain immune cells that are attacked by the acquired immune deficiency syndrome virus 
1	Dr. Mitchell also employed tumor cell lines to manufacture cancer `` antigens '' or foreign proteins that also would stimulate the immune system to recognize and attack the actual tumor 
1	The suits can give consumers a tool to attack practices of manufacturers , and they give state attorneys general a way to file antitrust actions against manufacturers on behalf of consumers 
1	Inflation , attacked in the abortive Austral Plan of 1985 and now the target of new economic measures , has exceeded 300 % over the past year 
1	The drought is spawning an explosion in the spider mite population by harming a plant fungus that attacks the tiny insects 
1	The group , in an article in today 's edition of the journal Science , said they have developed small segments of the molecule known as CD4 , which is carried on the surface of certain cells attacked by the AIDS virus 
1	They suggested that their genetic variability may affect the infectiousness of the virus and its `` preference '' for attacking one type of cell over another 
1	Mr. Cardenas 's stunning success in this month 's presidential election , when he took close to a third of the vote and loosened the traditional stranglehold of the Institutional Revolutionary Party , or PRI , illustrated that attacking debt payments wins votes 
1	Similar in appearance and texture to petroleum-based plastics , the plastic decomposes into water and carbon dioxide when attacked by certain enzymes in the soil 
1	The dissident group plans to attack several provisions that block claimants ' ability to seek compensation from any source other than the special trust fund 
1	Then the scientists soak the isolated cells in IL-2 to grow massive quantities of TILs and infuse them in the patient 's body , where they attack the tumor in greater force 
1	In his own opinion , Chairman Ruder attacked both dissents as attempting to reduce the customer 's protection not only below the level set in the securities laws , but even below the standard set by common law 
1	"`` We 're not attacking the core assets ; we 're looking at what we consider to be our less-profitable assets , '' the spokesman said "
